rating,review_text,date_added,date_updated,read_at,started_at,n_votes,n_comments,type
0,"I love historical fiction, and I found it fascinating! I had forgot how much I enjoyed mythology as an child, and just started the Iliad since that is what the twins read at school!",Wed Aug 01 09:47:05 -0700 2012,Wed Aug 08 10:46:05 -0700 2012,Wed Aug 08 10:46:05 -0700 2012,Wed Aug 01 00:00:00 -0700 2012,0,1,history_biography
0,"I didn't realize I had picked up fluffy Harlequin romance (3 in 1) with a common setting. Brought back memories of reading these when I was younger - completely predictable. The second story, Island Time, was the best.",Mon Aug 04 12:26:49 -0700 2008,Sat Jul 30 05:30:23 -0700 2011,,,0,0,romance
0,Enjoyed reading this book after not reading it since I was in primary school.,Tue Aug 12 17:59:07 -0700 2014,Thu Aug 25 19:46:44 -0700 2016,,,0,0,children
0,"Loose sequel to Nothingness of Ben. 
 Infidelity, 25 year age gap, weirdness galore--so not my cuppa.",Tue Jun 11 23:05:51 -0700 2013,Thu Oct 06 01:10:11 -0700 2016,,,0,0,fantasy_paranormal
0,Review will be provided once my exams have ended in June.,Mon Oct 14 10:11:55 -0700 2013,Wed May 28 07:12:40 -0700 2014,Wed May 28 07:12:40 -0700 2014,Mon May 26 00:00:00 -0700 2014,0,0,comics_graphics
0,"I'm determined to read Leaves of Grass in its formidable entirety, including the annexes of the so-called death-bed edition, convinced, without a shadow of a doubt, that my time is far better invested in Leaves of Grass than it would be in reading, for instance, Infinite Jest, which inspires support groups offering spiritual bread and water to those willing to accompany DWF on his Pynchonesque pilgrimage through a grad-school amusement park. What I've read already of Whitman, including ""I Sing the Body Electric"" and ""Crossing Brooklyn Ferry,"" is sublime, timeless, and incandescent. I can't begin to say the same of anything I've read of DFW, who is of course a very different sort of writer. But heft is heft, and you go your way and I'll go mine.",Fri Nov 02 23:30:35 -0700 2012,Sat Nov 03 01:46:56 -0700 2012,,Fri Nov 02 00:00:00 -0700 2012,6,15,poetry
0,"Not too shabby, well paced and a character origin story that hardens to a darker version of batman. In a way...",Fri Mar 13 10:58:28 -0700 2015,Fri Mar 13 10:59:13 -0700 2015,,,0,0,fantasy_paranormal
0,The audio book is just awful. I'll have to get the real book...,Sat Sep 10 18:40:59 -0700 2011,Sat Sep 17 01:04:03 -0700 2011,,Sat Sep 10 00:00:00 -0700 2011,0,0,children
0,Slowwwwwwwwwwwww. I'm having a hard time getting into this book.,Tue Mar 18 22:36:03 -0700 2008,Fri Apr 25 19:01:53 -0700 2008,Sat Mar 22 05:48:32 -0700 2008,,0,1,mystery_thriller_crime
0,"Have read the entire series! Deliciously funny as well as a good, gripping mystery.",Fri Dec 06 20:32:26 -0800 2013,Thu Oct 15 10:21:26 -0700 2015,,,0,0,mystery_thriller_crime
