iter	RMSE
0	0.9652696398
1	0.9330584557
2	0.902378176
3	0.874115215
4	0.8502787706
5	0.8262134507
6	0.8048834777
7	0.7862540381
8	0.7684583281
9	0.7530272336
10	0.7380686515
11	0.7241969377
12	0.712513654
13	0.7013441116
14	0.6912059646
15	0.6820387632
16	0.6729639198
17	0.6647178775
18	0.6572337612
19	0.6504064649
20	0.6440708955
21	0.638132035
22	0.6322906209
23	0.6265322014
24	0.6213312872
25	0.6168288198
26	0.6114718482
27	0.6077288049
28	0.6033462151
29	0.5995872051
30	0.5960530181
31	0.5920114867
32	0.5894680388
33	0.586483798
34	0.58376055
35	0.5809946805
36	0.5782830018
37	0.5757936023
38	0.5736270759
39	0.5716782972
40	0.5697116092
41	0.5674003821
42	0.5651741388
43	0.5625062122
44	0.5609331043
45	0.5589514541
46	0.556897746
47	0.5546598041
48	0.5525377936
49	0.5510544321
50	0.5495996593
51	0.5472365427
52	0.5454878146
53	0.5435175965
54	0.5420054023
55	0.5401699438
56	0.5387498706
57	0.5375137832
58	0.5364026334
59	0.535543842
60	0.5343509768
61	0.5334055307
62	0.532599039
63	0.5315084246
64	0.5304021966
65	0.529374799
66	0.5283914144
67	0.5274938903
68	0.5263616811
69	0.524768352
70	0.5232897205
71	0.5221318733
72	0.521116219
73	0.5204825333
74	0.5190238705
75	0.5177672516
76	0.5158054488
77	0.5149203146
78	0.5138443675
79	0.5129340816
80	0.5122271476
81	0.5112974424
82	0.5104424153
83	0.5092709125
84	0.5084098456
85	0.507576355
86	0.5070361526
87	0.5057771376
88	0.5053707425
89	0.5045399756
90	0.5037241328
91	0.5028289487
92	0.5020125661
93	0.5012138381
94	0.499993164
95	0.4992311647
96	0.4986974727
97	0.4977344176
98	0.4971172721
99	0.4964077175
100	0.4956032357
101	0.4944995356
102	0.4936812553
103	0.4929549707
104	0.4916773043
105	0.4905856226
106	0.48967643
107	0.4890784613
108	0.4885344721
109	0.4883392125
110	0.4876038941
111	0.4871150856
112	0.4863360869
113	0.4854221094
114	0.4849729631
115	0.4840197771
116	0.4831760508
117	0.4826720829
118	0.4820731416
119	0.4816281321
120	0.4809015366
121	0.4805186149
122	0.4795331601
123	0.4787229009
124	0.4783510339
125	0.4776495015
126	0.4773367377
127	0.4769211928
128	0.4765069447
129	0.4761698381
130	0.4754522984
131	0.4749586018
132	0.4745706579
133	0.4740293412
134	0.4734043718
135	0.4727107094
136	0.4719503605
137	0.4713935515
138	0.4707390725
139	0.4703470909
140	0.4695730582
141	0.4685636552
142	0.467774317
143	0.467205866
144	0.4663996666
145	0.4656157359
146	0.4649186119
147	0.4645575793
148	0.4641325428
149	0.4635757478
150	0.4632732731
151	0.4624305451
152	0.462103522
153	0.4615859557
154	0.4611589657
155	0.4606821102
156	0.4603586724
157	0.459947263
158	0.4594513843
159	0.4592685922
160	0.4588333739
161	0.4580047502
162	0.4573685408
163	0.4570469294
164	0.4564389063
165	0.4560866374
166	0.4555513535
167	0.4553645788
168	0.454883084
169	0.4544802455
170	0.4541012951
171	0.453898051
172	0.453525189
173	0.4531534253
174	0.4528109324
175	0.4521228475
176	0.4519413293
177	0.4513666778
178	0.451134771
179	0.4506717986
180	0.4501367503
181	0.4496965445
182	0.4493189254
183	0.4489918237
184	0.4488352687
185	0.4486285645
186	0.4484528291
187	0.4480008418
188	0.4476518046
189	0.4470932249
190	0.4467485892
191	0.446032281
192	0.4456529283
193	0.445145359
194	0.4450555302
195	0.4443563288
196	0.4439145061
197	0.443636109
198	0.4431417316
199	0.4427820919
200	0.442400206
201	0.442300735
202	0.4420319169
203	0.4414815914
204	0.4410910039
205	0.440899289
206	0.4405462253
207	0.4402874818
208	0.4400121582
209	0.4396663862
210	0.4392953361
211	0.4389623942
212	0.4385800779
213	0.438192655
214	0.4378164691
215	0.4372675001
216	0.4369284738
217	0.4366603836
218	0.4361922817
219	0.4357728859
220	0.4353901193
221	0.4352414865
222	0.4349740322
223	0.4344197521
224	0.4340915641
225	0.4336265331
226	0.4332884989
227	0.4330427507
228	0.4326963589
229	0.4323458791
230	0.4319708458
231	0.4315094788
232	0.4312505574
233	0.4309440555
234	0.4306886442
235	0.4303600966
236	0.4302426197
237	0.430022881
238	0.4297352765
239	0.4293023403
240	0.4288993622
241	0.4286477413
242	0.4282099546
243	0.4279599024
244	0.4275333254
245	0.4272307973
246	0.426754771
247	0.4266112711
248	0.4265750552
249	0.4262642789
250	0.4261429626
251	0.4257927027
252	0.4255660896
253	0.4253424901
254	0.4248514813
255	0.4246660275
256	0.4242764202
257	0.4240803237
258	0.4238013232
259	0.4235709731
260	0.423341741
261	0.42290667
262	0.4227667025
263	0.4224095898
264	0.4219944444
265	0.4217298068
266	0.4214636123
267	0.4212680027
268	0.4209513651
269	0.4206204795
270	0.4203893687
271	0.4201318831
272	0.4194653344
273	0.4191153673
274	0.4187943599
275	0.4185409817
276	0.4183826222
277	0.4181708965
278	0.4181022061
279	0.4176439464
280	0.4174175903
281	0.4171081995
282	0.4168999206
283	0.4167105948
284	0.4164722527
285	0.416266652
286	0.4161237927
287	0.4159024564
288	0.4155372582
289	0.4152384693
290	0.4150239976
291	0.4146350333
292	0.4143156805
293	0.4140641923
294	0.4137291634
295	0.4133140083
296	0.4132329437
297	0.4129608531
298	0.412767912
299	0.4124652048
300	0.4120491541
301	0.4118454782
302	0.4114913252
303	0.4112065067
304	0.4108621262
