iter	Passed	Remaining
0	146	146597
1	152	76124
2	158	52574
3	163	40768
4	168	33605
5	174	28875
6	179	25529
7	185	22956
8	191	21052
9	196	19481
10	202	18195
11	207	17112
12	213	16194
13	219	15436
14	224	14761
15	230	14167
16	235	13642
17	241	13180
18	246	12741
19	252	12363
20	257	12018
21	263	11703
22	268	11411
23	274	11171
24	280	10931
25	285	10688
26	291	10498
27	297	10319
28	302	10133
29	308	9970
30	314	9820
31	319	9669
32	325	9535
33	330	9399
34	336	9281
35	343	9186
36	349	9087
37	355	8988
38	361	8901
39	367	8811
40	372	8717
41	378	8623
42	383	8542
43	389	8454
44	394	8382
45	400	8311
46	406	8243
47	412	8174
48	418	8118
49	423	8048
50	429	7991
51	435	7932
52	441	7883
53	446	7825
54	451	7763
55	457	7704
56	463	7661
57	470	7633
58	476	7592
59	482	7562
60	489	7533
61	495	7501
62	501	7464
63	507	7422
64	514	7395
65	519	7350
66	525	7317
67	531	7284
68	537	7248
69	542	7205
70	548	7172
71	555	7153
72	561	7127
73	567	7099
74	573	7072
75	578	7034
76	584	7004
77	590	6977
78	596	6950
79	602	6925
80	608	6901
81	614	6877
82	620	6854
83	626	6832
84	632	6809
85	638	6786
86	644	6767
87	651	6749
88	656	6724
89	662	6701
90	668	6679
91	674	6657
92	680	6641
93	686	6617
94	691	6589
95	697	6565
96	703	6546
97	708	6518
98	714	6498
99	719	6472
100	724	6450
101	730	6429
102	735	6406
103	741	6388
104	747	6373
105	753	6354
106	759	6339
107	765	6325
108	771	6310
109	778	6298
110	784	6285
111	791	6277
112	797	6263
113	803	6245
114	808	6224
115	813	6202
116	820	6190
117	826	6176
118	831	6156
119	837	6140
120	843	6124
121	849	6110
122	854	6094
123	859	6074
124	865	6057
125	870	6039
126	876	6023
127	882	6009
128	887	5993
129	893	5977
130	898	5960
131	904	5947
132	910	5936
133	917	5931
134	923	5918
135	929	5904
136	935	5891
137	941	5880
138	947	5871
139	954	5860
140	959	5842
141	965	5831
142	971	5821
143	977	5813
144	984	5803
145	991	5797
146	996	5784
147	1003	5777
148	1009	5764
149	1015	5752
150	1021	5743
151	1027	5731
152	1033	5721
153	1039	5711
154	1045	5699
155	1051	5689
156	1058	5683
157	1064	5674
158	1070	5662
159	1076	5651
160	1082	5643
161	1088	5628
162	1093	5616
163	1100	5609
164	1106	5598
165	1112	5589
166	1117	5575
167	1123	5564
168	1129	5555
169	1135	5545
170	1141	5531
171	1147	5523
172	1153	5512
173	1158	5500
174	1164	5490
175	1170	5478
176	1176	5468
177	1182	5458
178	1188	5449
179	1194	5441
180	1200	5432
181	1206	5421
182	1212	5411
183	1217	5401
184	1224	5392
185	1229	5380
186	1235	5369
187	1240	5359
188	1246	5347
189	1251	5333
190	1257	5325
191	1263	5315
192	1268	5305
193	1274	5293
194	1279	5283
195	1285	5274
196	1291	5263
197	1296	5252
198	1302	5244
199	1308	5232
200	1313	5222
201	1319	5213
202	1325	5203
203	1331	5196
204	1337	5186
205	1343	5178
206	1349	5171
207	1355	5162
208	1361	5153
209	1367	5142
210	1373	5134
211	1378	5124
212	1384	5115
213	1390	5107
214	1396	5098
215	1401	5086
216	1407	5077
217	1413	5068
218	1419	5061
219	1425	5053
220	1431	5046
221	1437	5037
222	1443	5029
223	1449	5020
224	1454	5011
225	1460	5001
226	1466	4993
227	1472	4985
228	1478	4979
229	1484	4971
230	1490	4961
231	1495	4951
232	1501	4943
233	1507	4935
234	1513	4927
235	1519	4919
236	1525	4911
237	1531	4903
238	1536	4893
239	1542	4883
240	1547	4875
241	1554	4868
242	1559	4857
243	1564	4847
244	1569	4837
245	1575	4828
246	1581	4821
247	1587	4812
248	1593	4805
249	1598	4795
250	1604	4788
251	1610	4781
252	1616	4773
253	1622	4764
254	1627	4755
255	1633	4747
256	1639	4739
257	1645	4731
258	1650	4723
259	1656	4715
260	1662	4707
261	1668	4699
262	1674	4691
263	1679	4680
264	1684	4671
265	1690	4663
266	1695	4654
267	1701	4648
268	1707	4639
269	1713	4632
270	1719	4625
271	1724	4616
272	1730	4609
273	1736	4599
274	1741	4591
275	1747	4584
276	1754	4578
277	1760	4571
278	1765	4563
279	1771	4555
280	1777	4547
281	1783	4540
282	1789	4534
283	1796	4528
284	1802	4522
285	1808	4515
286	1814	4508
287	1821	4502
288	1827	4496
289	1833	4489
290	1840	4484
291	1846	4476
292	1852	4469
293	1858	4463
294	1864	4457
295	1871	4450
296	1878	4445
297	1885	4441
298	1892	4436
299	1899	4432
300	1906	4427
301	1913	4422
302	1919	4416
303	1926	4411
304	1933	4404
305	1939	4399
306	1945	4391
307	1952	4385
308	1958	4380
309	1964	4372
310	1970	4364
311	1976	4357
312	1982	4350
313	1988	4343
314	1994	4337
315	2000	4329
316	2006	4322
317	2011	4314
318	2017	4307
319	2023	4300
320	2029	4293
321	2035	4285
322	2040	4276
323	2046	4269
324	2053	4264
325	2059	4258
326	2065	4250
327	2071	4243
328	2077	4237
329	2083	4229
330	2088	4221
331	2094	4214
332	2099	4205
333	2105	4198
334	2111	4191
335	2117	4183
336	2123	4177
337	2128	4168
338	2134	4162
339	2140	4155
340	2146	4147
341	2151	4139
342	2157	4131
343	2162	4123
344	2168	4116
345	2174	4109
346	2179	4102
347	2185	4095
348	2191	4088
349	2197	4081
350	2203	4074
351	2209	4067
352	2215	4060
353	2221	4053
354	2226	4046
355	2232	4038
356	2237	4030
357	2243	4023
358	2249	4016
359	2255	4010
360	2261	4002
361	2266	3994
362	2272	3987
363	2277	3978
364	2282	3971
365	2288	3964
366	2294	3957
367	2299	3949
368	2306	3943
369	2312	3936
370	2317	3929
371	2323	3922
372	2328	3914
373	2334	3906
374	2340	3901
375	2347	3896
376	2353	3889
377	2359	3882
378	2364	3874
379	2370	3868
380	2376	3861
381	2382	3854
382	2387	3846
383	2393	3839
384	2398	3831
385	2404	3824
386	2409	3816
387	2415	3810
388	2421	3803
389	2427	3796
390	2432	3789
391	2438	3782
392	2444	3775
393	2450	3769
394	2456	3762
395	2463	3756
396	2467	3748
397	2473	3741
398	2480	3735
399	2486	3729
400	2491	3722
401	2497	3714
402	2503	3708
403	2508	3701
404	2514	3694
405	2520	3686
406	2525	3679
407	2531	3673
408	2537	3666
409	2543	3659
410	2548	3652
411	2553	3644
412	2559	3637
413	2564	3630
414	2570	3623
415	2576	3617
416	2582	3611
417	2588	3604
418	2594	3597
419	2600	3591
420	2605	3584
421	2612	3578
422	2618	3572
423	2624	3565
424	2630	3558
425	2635	3551
426	2641	3544
427	2646	3537
428	2652	3530
429	2658	3523
430	2663	3516
431	2668	3508
432	2674	3501
433	2680	3495
434	2686	3489
435	2692	3483
436	2698	3476
437	2704	3470
438	2710	3463
439	2715	3455
440	2721	3449
441	2727	3442
442	2733	3436
443	2739	3430
444	2745	3423
445	2749	3415
446	2756	3410
447	2763	3404
448	2769	3398
449	2775	3391
450	2780	3384
451	2786	3378
452	2792	3371
453	2797	3364
454	2803	3358
455	2809	3351
456	2816	3346
457	2822	3339
458	2827	3332
459	2833	3325
460	2838	3318
461	2843	3311
462	2849	3304
463	2855	3298
464	2861	3292
465	2867	3285
466	2873	3279
467	2879	3272
468	2884	3266
469	2890	3259
470	2896	3253
471	2904	3248
472	2910	3242
473	2916	3236
474	2922	3229
475	2928	3224
476	2935	3218
477	2940	3211
478	2946	3204
479	2952	3198
480	2958	3192
481	2964	3185
482	2970	3179
483	2975	3172
484	2981	3165
485	2986	3158
486	2992	3151
487	2997	3145
488	3003	3139
489	3009	3132
490	3015	3126
491	3021	3119
492	3027	3113
493	3033	3107
494	3039	3100
495	3046	3095
496	3052	3089
497	3058	3083
498	3064	3076
499	3070	3070
500	3075	3063
501	3081	3057
502	3087	3050
503	3093	3044
504	3099	3037
505	3104	3030
506	3110	3024
507	3116	3018
508	3122	3011
509	3128	3005
510	3134	2999
511	3139	2992
512	3144	2985
513	3150	2978
514	3155	2971
515	3161	2965
516	3166	2958
517	3173	2952
518	3179	2946
519	3184	2939
520	3190	2933
521	3196	2927
522	3202	2920
523	3207	2914
524	3213	2907
525	3219	2901
526	3225	2894
527	3230	2888
528	3236	2881
529	3241	2874
530	3248	2868
531	3254	2862
532	3260	2856
533	3265	2849
534	3271	2843
535	3276	2836
536	3282	2830
537	3287	2823
538	3294	2817
539	3299	2810
540	3305	2804
541	3312	2799
542	3318	2792
543	3323	2786
544	3329	2779
545	3335	2773
546	3340	2766
547	3346	2759
548	3351	2753
549	3357	2746
550	3362	2740
551	3368	2734
552	3374	2727
553	3380	2721
554	3385	2714
555	3390	2707
556	3395	2700
557	3400	2693
558	3406	2687
559	3411	2680
560	3417	2674
561	3423	2667
562	3428	2661
563	3434	2654
564	3440	2648
565	3446	2642
566	3452	2636
567	3458	2630
568	3463	2623
569	3469	2617
570	3474	2610
571	3480	2604
572	3486	2598
573	3492	2592
574	3498	2585
575	3503	2579
576	3510	2573
577	3515	2566
578	3521	2560
579	3526	2553
580	3532	2547
581	3538	2541
582	3544	2535
583	3550	2529
584	3556	2522
585	3562	2516
586	3567	2510
587	3573	2504
588	3578	2497
589	3584	2491
590	3591	2485
591	3597	2479
592	3603	2472
593	3608	2466
594	3614	2460
595	3619	2453
596	3626	2447
597	3631	2441
598	3637	2434
599	3642	2428
600	3648	2421
601	3653	2415
602	3658	2408
603	3665	2403
604	3670	2396
605	3676	2390
606	3681	2383
607	3686	2377
608	3692	2370
609	3698	2364
610	3703	2358
611	3709	2351
612	3715	2345
613	3721	2339
614	3728	2334
615	3734	2328
